,gene,sg^Ind1^Rep1^CellType
836,gene-1043,-10.779282113873093
837,gene-1044,-7.565569117837467
838,gene-1045,-9.41952618359167
839,gene-1046,-11.578342953355472
840,gene-1047,-11.455137117453537
841,gene-1048,-11.338292340428927
842,gene-1049,-10.529284408472273
843,gene-1051,-10.667003183982787
844,gene-1052,-8.172643858091984
845,gene-1056,-11.600982075540584
846,gene-1058,-10.431575128048042
847,gene-1060,-9.743919250313864
848,gene-1061,-10.76357576155763
849,gene-1062,-9.479663064337439
850,gene-1064,-8.101858448741842
851,gene-1065,-9.680915941775732
852,gene-1066,-10.52747290523051
853,gene-1067,-9.50299781114267
854,gene-1068,-10.681771838901415
855,gene-1069,-8.770554563462708
856,gene-1070,-9.781927521501068
857,gene-1073,-10.814624460835068
858,gene-1074,-9.333863293390237
859,gene-1075,-10.8607072039293
860,gene-1076,-10.750981423478919
861,gene-1078,-9.789579771305018
