gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_pval_adj,dv_pval_adj
HSPA12A,species,-0.2886894582630472,0.039618797667709406,2.2868126690264716e-13,0.011640147893163815,0.1025527099235393,0.9637368379278413,7.287767006034097e-13,0.9909624666215914
UBTD1,species,-0.17109120083409213,0.057496423539768984,0.002571382334392684,-0.10387388391190007,0.126748118022727,0.4271409552595736,0.003934645370376661,0.7848053728092469
PTER,species,-0.08729895307674586,0.04854803983630884,0.07200708175034062,-0.03446442339068775,0.09927927533161553,0.7519377026270858,0.09117727117429184,0.9262816215591287
CACNB2,species,-0.2920530454458198,0.03368902614342826,5.80957104803014e-18,0.018126591729331586,0.06325891025385112,0.7043794085078237,2.2555480286228624e-17,0.911515183419073
HACD1,species,-0.3143347097334278,0.05397982901488618,5.0825040105123975e-09,-0.06008458206432526,0.11077741137591668,0.5189378382883799,1.244042544540737e-08,0.8431265312302629
ARL5B,species,0.1838464816071937,0.03297769366460429,2.3772469330964413e-08,0.13520043482394556,0.08552463980085152,0.10424794275070584,5.559165790602088e-08,0.4460556721012616
R3HCC1L,species,-0.13342674148974618,0.023924307821225142,3.2582595687184034e-08,0.04653477030300077,0.07058045215854694,0.5142654328822086,7.558700716808524e-08,0.8412726801728952
HIF1AN,species,-0.008539540333559359,0.037909176511937884,0.8041588675660644,-0.07013348994920424,0.08882730313649212,0.39279974319134,0.830569760484025,0.7630816854386743
NDUFB8,species,-0.15366761711953375,0.04223697973179732,0.0003496641321244185,-0.028867826964277792,0.11654273453190815,0.8744150505935366,0.0005899269113223559,0.964311793860875
BTRC,species,-0.1304549187016142,0.021092822073526217,5.80220850339728e-10,0.025169022329740415,0.06936779395435047,0.7344946520198398,1.5065047309679464e-09,0.9208414852782619
NOLC1,species,-0.017754533086423174,0.020091345405152315,0.37653632934143083,0.02742349193020621,0.05664195033329392,0.6092430394581467,0.42014314806731895,0.876030418542205
SGPL1,species,0.4427665857366335,0.030873776856813997,1.7379976445068193e-46,-0.03543830950559693,0.0767158143109279,0.733512056192553,1.560749742446326e-45,0.9205087271867401
WBP1L,species,0.35907600037521586,0.03985025697745965,1.6780889989393561e-19,-0.12522101159134852,0.09984977544818908,0.22393185067205407,7.051381993405247e-19,0.6186058362556883
ANAPC16,species,0.7220365107961352,0.03798166288204,8.415790783808718e-80,-0.10878079537826547,0.08286666170123203,0.16229587779640026,1.4290485343910182e-78,0.546353827802712
USP54,species,0.08322424125277703,0.021217851736979165,8.899659330946235e-05,-0.10914943911172169,0.07027358526433271,0.1325325819234588,0.0001593103862930312,0.49922846344478966
DDIT4,species,0.49999719451938357,0.04870905324702742,1.2482641729022968e-24,0.09446493337354665,0.11001724030462215,0.4389594908956637,6.327435801004421e-24,0.7914522385542037
ODAD2,species,-0.3602951181144231,0.032582280180045005,1.6921175386978893e-28,0.0627571664181805,0.06678893219891276,0.3420463756798262,9.696376158340237e-28,0.7236729293850359
HNRNPF,species,0.013685019378560809,0.027842285510121453,0.6176056336464986,0.0495645273636962,0.07502055766500568,0.554804562162742,0.6577642226671324,0.8579306976606361
CSGALNACT2,species,0.2414967545129837,0.03993972081605183,1.4143802231836463e-09,-0.10138472410005134,0.08778865559529808,0.2909115005053216,3.5766668750948305e-09,0.6790588926770613
CDK1,species,0.11999929475822185,0.05262742386780063,0.023624489985218648,0.1181058742732483,0.09687848072542421,0.22865029853544067,0.032217821381403125,0.6224545176889317
EMX2,species,0.45859411105947884,0.0187870383197258,9.491496188329047e-132,-0.13130028769017626,0.055734467836887354,0.020706274797510058,2.984885721305719e-130,0.17761165546937915
MGMT,species,-0.08641100917179446,0.02626313553852972,0.0009486707638578773,0.012744129724469762,0.05761860635847877,0.8362193085558869,0.0015283708084939819,0.9521234496326538
PFKFB3,species,0.2898718821544487,0.02244215514005365,2.4291854350574845e-38,-0.06277509910668262,0.05584306922266938,0.27810651562150035,1.8000241178531522e-37,0.6691512831997425
KIF5B,species,0.14836844284999326,0.018876757336111726,4.054097167538379e-15,-0.045289216378847544,0.07945947560790334,0.5653310650261033,1.3930643326567631e-14,0.862209871880567
MORN4,species,0.14071654313356433,0.052567015977874,0.008921876905604628,0.05496858212902768,0.10953983254553937,0.6925227461159909,0.012785963585830038,0.9057750507343072
